"Nombre","Distrito","Valoración","Número de comentarios","Precio","Fecha","Dirección","CP","lat","long"
"NH VALENCIA CENTER","Campanar, Valencia",8.1,3409,120,2022-07-31,"CALLE DE RICARDO MICÓ, 1, Valencia ",46009,39.4808319,-0.387316431843575
"HOTEL VALENCIA OCEANIC AFFILIATED BY MELIÁ","Camins al Grau, Valencia",8.3,2416,137.5,2022-07-31,"CALLE DEL PINTOR MAELLA, 35, Valencia ",46023,39.45828105,-0.347884075806882
"LOTELITO","Ciutat Vella, Valencia",8.8,1300,208,2022-07-31,"CALLE DE VIRUÉS, 6, Valencia ",46002,39.4709807,-0.3746814
"AC HOTEL COLÓN VALENCIA BY MARRIOTT","Eixample, Valencia",8.5,490,158.5,2022-07-31,"CALLE DE COLÓN, 6, Valencia ",46004,39.467302,-0.3743674
"PAMPHYLIA HOTEL","Poblados marítimos, Valencia",8.9,151,220,2022-07-31,"PASEO DE NEPTUNO, 40, Valencia ",46011,39.46468905,-0.32341469206265
"BARCELÓ VALENCIA","Camins al Grau, Valencia",8.6,2281,119,2022-07-31,"AVENIDA DE FRANCIA, 11, GRAO, Valencia ",46023,39.46087,-0.35258
"HOTEL MIRAMAR VALENCIA","Poblados marítimos, Valencia",8.2,1087,155,2022-07-31,"PASEO DE NEPTUNO, 32, Valencia ",46011,39.4642871,-0.323598
"PRIMUS VALENCIA","Camins al Grau, Valencia",8.2,3811,153,2022-07-31,"CALLE DE MENORCA, 22, Valencia ",46023,39.4576914,-0.3457277
"HOTEL SAN LORENZO BOUTIQUE","Ciutat Vella, Valencia",8.4,1565,149.5,2022-07-31,"PLAZA DE SAN LORENZO, 2, Valencia ",46003,39.4778128,-0.374827315285652
"HOSTAL TARTESSOS","Ciutat Vella, Valencia",8.7,546,130,2022-07-31,"PASAJE DE LA SANGRE, 5, Valencia ",46001,39.4707154,-0.377145
"HOTEL EL SIGLO","Ciutat Vella, Valencia",8,880,120.5,2022-07-31,"PLAZA DE SANTA CATALINA, 11, Valencia ",46001,39.473877,-0.3760907
"CARO HOTEL","Ciutat Vella, Valencia",9,476,211,2022-07-31,"CARRER DE L'ALMIRALL, 14, Valencia ",46003,39.4759686,-0.3720638
"RUZAFA ROOMS","Quatre Carreres, Valencia",6,510,77,2022-07-31,"CALLE DE CADIZ, 92, Valencia ",46006,39.4592686,-0.3718809
"SH INGLES BOUTIQUE HOTEL","Ciutat Vella, Valencia",8.2,1268,180,2022-07-31,"CALLE  DEL MARQUÉS DE DOS AGUAS, 6, CIUDAD VIEJA, Valencia ",46002,39.4732021,-0.3743062
"CASUAL SOCARRAT VALENCIA - ADULTS ONLY","Ciutat Vella, Valencia",8.7,1484,142.5,2022-07-31,"CALLE DE LA PAZ, 38, CIUDAD VIEJA, Valencia ",46003,39.472943,-0.3717601
"MD DESIGN HOTEL - PORTAL DEL REAL","Ciutat Vella, Valencia",9,1067,146.5,2022-07-31,"CARRER DE BOIX, 3, Valencia ",46003,39.47697,-0.37238
"NH COLLECTION COLÓN VALENCIA","Eixample, Valencia",8.7,989,169.5,2022-07-31,"CALLE DE COLÓN, 32, Valencia ",46004,39.468559,-0.3725678
"CASUAL DEL CINE VALENCIA","Ciutat Vella, Valencia",8.4,2329,114,2022-07-31,"CALLE DEL CONVENTO DE SAN FRANCISCO, 7, Valencia ",46002,39.4689015,-0.3776315
"PALACIO SANTA CLARA, AUTOGRAPH COLLECTION","Ciutat Vella, Valencia",9.3,263,222.5,2022-07-31,"CALLE DE PASCUAL Y GENIS, 22, Valencia ",46002,39.4682301,-0.3738525
"MD MODERN HOTEL - JARDINES","Eixample, Valencia",8.5,1139,118.5,2022-07-31,"CARRER DEL MESTRE RACIONAL, 23, Valencia ",46005,39.4641809,-0.3617507
"THE VALENTIA CABILLERS","Ciutat Vella, Valencia",8.9,1664,284,2022-07-31,"CARRER DELS CABILLERS, 3, Valencia ",46003,39.47477,-0.3750246
"CITY SUITES UNIVERSIDADES","El Pla del Real, Valencia",7.4,679,109.5,2022-07-31,"AVENIDA DEL PRIMADO REIG, 102, Valencia ",46010,39.4815637,-0.3600556
"EUROSTARS ACTEÓN","Camins al Grau, Valencia",8.4,4931,181.5,2022-06-19,"CARRER DE VICENTE BELTRÁN GRIMAL, 2, Valencia ",46023,39.46363625,-0.347939215400449
"HOTEL CONQUERIDOR","Extramurs, Valencia",8,2346,180.5,2022-06-19,"CALLE DE CERVANTES, 9, LA ROQUETA, Valencia ",46007,39.4669877,-0.3820251
"HOSTAL ABASTOS","Extramurs, Valencia",8,773,38,2022-06-19,"CALLE DE ALBERIQUE, 19, Valencia ",46008,39.466484,-0.3880924
"SWEET HOTEL RENASA","El Pla del Real, Valencia",8,3455,81.5,2022-06-19,"AVENIDA DE CATALUÑA, 5, Valencia ",46010,39.480567,-0.3529597
"SWEET HOTEL CONTINENTAL","Ciutat Vella, Valencia",8.1,3146,101.5,2022-06-19,"CALLE DE CORREOS, 8, Valencia ",46002,39.4697061,-0.3745483
"HI VALENCIA CANOVAS","Eixample, Valencia",7.9,2192,67,2022-06-19,"CALLE DE CIRILO AMORÓS, 82, Valencia ",46004,39.4667056,-0.3729278
"ONE SHOT PALACIO REINA VICTORIA 04","Ciutat Vella, Valencia",8.4,1838,153,2022-06-19,"CALLE DE LAS BARCAS, 4, Valencia ",46002,39.47021,-0.37533
"HOTEL VALENCIA CENTER","Camins al Grau, Valencia",8.3,5474,117,2022-06-19,"AVENIDA DE FRANCIA, 33, GRAO, Valencia ",46023,39.46017,-0.34948
"ZENIT VALENCIA","Extramurs, Valencia",8.6,1860,135,2022-06-19,"CALLE DE BAILÉN, 8, LA ROQUETA, Valencia ",46007,39.4667681,-0.3780804
"CASUAL DE LA MÚSICA VALENCIA","Ciutat Vella, Valencia",7.1,2603,67,2022-06-19,"CALLE DE PADILLA, 4, Valencia ",46001,39.4701428,-0.3795473
"CATALONIA EXCELSIOR","Ciutat Vella, Valencia",8.5,2241,162.5,2022-06-19,"CALLE DE LA BARCELONINA, 5, Valencia ",46002,39.4714,-0.37587
"PENSIÓN UNIVERSAL","Ciutat Vella, Valencia",7.5,2108,34.5,2022-06-19,"CALLE DE LAS BARCAS, 5, Valencia ",46002,39.4705,-0.37514
"BIZZBEACH","Poblados marítimos, Valencia",8,180,30.5,2022-06-19,"CALLE DE IBIZA, 17, Valencia ",46024,39.4602115,-0.3399427
"DWO VALENCIA","Camins al Grau, Valencia",7.6,1679,109.5,2022-06-19,"AVENIDA DEL PUERTO, 129, GRAO, POBLATS MARÍTIMS, Valencia ",46022,39.46481,-0.34687
"NH VALENCIA CENTER","Campanar, Valencia",8.1,3348,118.5,2022-06-19,"CALLE DE RICARDO MICÓ, 1, Valencia ",46009,39.4808319,-0.387316431843575
"RUSSAFA YOUTH HOSTEL","Eixample, Valencia",8.4,720,65.5,2022-06-19,"CALLE DEL PADRE PERERA, 5, Valencia ",46006,39.4626176,-0.371846
"HOTEL MALCOM AND BARRET","Quatre Carreres, Valencia",8.7,12713,144,2022-06-19,"AVINGUDA D'AUSIÀS MARCH, 59, Valencia ",46013,39.4507488,-0.3709729
"LINDALA","Poblados marítimos, Valencia",9,1110,149,2022-06-19,"CALLE ERNESTO ANASTASIO, 46, Valencia ",46011,39.4646851,-0.3339927
"SERCOTEL SOROLLA PALACE","Poblados del Oeste, Valencia",8.3,4789,159,2022-06-19,"AVENIDA DE LAS CORTES VALENCIANAS, 58, Valencia ",46015,39.49617,-0.40132
"HOTEL ALKAZAR","Ciutat Vella, Valencia",7.9,1335,66,2022-06-19,"PLAZA DEL AYUNTAMIENTO, 11, CIUDAD VIEJA, Valencia ",46002,39.4689,-0.37431
"SILKEN PUERTA VALENCIA","Camins al Grau, Valencia",8.3,3863,111,2022-06-19,"AVENIDA CARDENAL BENLLOCH, 28, Valencia ",46021,39.46847,-0.35562
"HOTEL MEDIUM VALENCIA","Quatre Carreres, Valencia",8.1,2620,144,2022-06-19,"AVINGUDA D'AMADO GRANELL MESADO, 48, Valencia ",46013,39.4588201,-0.3649061
"ILUNION AQUA 3","Camins al Grau, Valencia",8,4289,183.5,2022-06-19,"CARRER DE LUIS GARCÍA-BERLANGA MARTÍ, 21, Valencia ",46023,39.45535,-0.34292
"HOTEL PLAZA MERCADO & SPA","Ciutat Vella, Valencia",9.2,1000,194.5,2022-06-19,"PLAZA DEL MERCADO, 45, CIUDAD VIEJA, Valencia ",46001,39.4734442,-0.3778781
