"Nombre","Distrito","Valoración","Número de comentarios","Precio","Fecha","Dirección","CP","lat","long"
"VENECIA PLAZA CENTRO","Ciutat Vella, Valencia",9,6761,69.5,2023-01-22,"PLAZA DEL AYUNTAMIENTO, 3, CIUDAD VIEJA, Valencia ",46002,39.4718725,-0.3768941
"HOTEL SAN LORENZO BOUTIQUE","Ciutat Vella, Valencia",8.4,1564,63,2023-01-22,"PLAZA DE SAN LORENZO, 2, Valencia ",46003,39.4778128,-0.374827315285652
"PETIT PALACE RUZAFA","Eixample, Valencia",8.6,1885,82.5,2023-01-22,"CALLE DE SUECA, 14, Valencia ",46006,39.4627112,-0.3761459
"HOSTAL TARTESSOS","Ciutat Vella, Valencia",8.7,547,57,2023-01-22,"PASAJE DE LA SANGRE, 5, Valencia ",46001,39.4707154,-0.377145
"ILUNION VALENCIA 3","Benicalap, Valencia",7.8,3029,103,2023-01-22,"CALLE DEL VALLE DE AYORA, 5, Valencia ",46015,39.4932582,-0.3991733
"CASUAL DE LAS ARTES VALENCIA","Camins al Grau, Valencia",8.1,2482,68,2023-01-22,"AVENIDA DEL PUERTO, 39, GRAO, POBLATS MARÍTIMS, Valencia ",46021,39.46709,-0.35582
"LAS ARENAS BALNEARIO RESORT","Poblados marítimos, Valencia",8.8,2362,144,2023-01-22,"CALLE EUGENIA VIÑES, 22-24, Valencia ",46011,39.4648302,-0.3248653
"SERCOTEL SOROLLA PALACE","Poblados del Oeste, Valencia",8.3,4873,107,2023-01-22,"AVENIDA DE LAS CORTES VALENCIANAS, 58, Valencia ",46015,39.49617,-0.40132
"ILUNION AQUA 3","Camins al Grau, Valencia",8,4390,107.5,2023-01-22,"CARRER DE LUIS GARCÍA-BERLANGA MARTÍ, 21, Valencia ",46023,39.45535,-0.34292
"NH VALENCIA CENTER","Campanar, Valencia",8.1,3404,71,2023-01-22,"CALLE DE RICARDO MICÓ, 1, Valencia ",46009,39.4808319,-0.387316431843575
"CASUAL SOCARRAT VALENCIA - ADULTS ONLY","Ciutat Vella, Valencia",8.7,1486,82,2023-01-22,"CALLE DE LA PAZ, 38, CIUDAD VIEJA, Valencia ",46003,39.472943,-0.3717601
"HOTEL DIMAR","Eixample, Valencia",8.6,2111,85,2023-01-22,"GRAN VIA DEL MARQUES DEL TURIA, 80, Valencia ",46005,39.4683488,-0.3650328
"EUROSTARS GRAN VALENCIA","Benicalap, Valencia",8.4,2587,82,2023-01-22,"CALLE DEL VALLE DE AYORA, 3, Valencia ",46015,39.4915771,-0.3982036
"ONE SHOT PALACIO REINA VICTORIA 04","Ciutat Vella, Valencia",8.3,1845,108,2023-01-22,"CALLE DE LAS BARCAS, 4, Valencia ",46002,39.47021,-0.37533
"HOTEL TURIA","Campanar, Valencia",7.5,3039,111,2023-01-22,"CARRER DEL PROFESOR BELTRÁN BÁGUENA, 2, Valencia ",46009,39.4803567,-0.3890109
"MARQUÉS HOUSE HOTEL 4* SUP","Ciutat Vella, Valencia",9.2,1101,122,2023-01-22,"CALLE DE LA ABADÍA DE SAN MARTÍN, 10, Valencia ",46002,39.473,-0.3754
"URBAN YOUTH HOSTEL","Poblados marítimos, Valencia",8.4,1278,55,2023-01-22,"AVENIDA DEL PUERTO, 280, GRAO, POBLATS MARÍTIMS, Valencia ",46024,39.4612649,-0.3377946
"CITY SUITES MARINA","Camins al Grau, Valencia",8,1228,55,2023-01-22,"CALLE DE LAS MADERAS, 12, Valencia ",46022,39.4677276,-0.3367496
"PURPLE NEST HOSTEL","Ciutat Vella, Valencia",8,1245,42,2023-01-22,"PLAZA DE TETUÁN, 5, Valencia ",46003,39.4746181,-0.3701021
"ILUNION AQUA 4","Camins al Grau, Valencia",8.2,6256,114.5,2023-01-22,"CARRER DE LUIS GARCÍA BERLANGA MARTÍ, 19-21, Valencia ",46023,39.45594,-0.34578
"ILUNION VALENCIA 4","Benicalap, Valencia",8.1,3449,113.5,2023-01-22,"CALLE DEL VALLE DE AYORA, 1, Valencia ",46015,39.4912973,-0.3980026
"ONE SHOT COLÓN 46","Eixample, Valencia",8.5,1551,101,2023-01-22,"CALLE DE COLÓN, 46, Valencia ",46004,39.4692269,-0.3715868
"AC HOTEL VALENCIA BY MARRIOTT","Camins al Grau, Valencia",8.3,1265,84,2023-01-22,"AVENIDA DE FRANCIA, 67, GRAO, Valencia ",46023,39.45886,-0.34393
"HOTEL MALCOM AND BARRET","Quatre Carreres, Valencia",8.7,12650,90,2023-01-22,"AVINGUDA D'AUSIÀS MARCH, 59, Valencia ",46013,39.4507488,-0.3709729
"HOST & HOME","Ciutat Vella, Valencia",8.6,650,68.5,2023-01-22,"CALLE DE VITORIA, 3, Valencia ",46002,39.4728166,-0.3760432
"ONE SHOT MERCAT 09","Ciutat Vella, Valencia",8.6,678,117,2023-01-22,"CALLE DEL MÚSICO PEYDRO, 9-11, Valencia ",46001,39.4720362,-0.3781813
"ABCYOU BED&BREAKFAST","Eixample, Valencia",8.7,1062,65.5,2023-01-22,"CARRER DEL TAQUÍGRAF MARTÍ, 10, Valencia ",46005,39.4652174,-0.3706618
"BALCÓN AL MAR","Poblados marítimos, Valencia",8.3,568,124,2023-01-22,"CARRER DE JOAN JOSEP SISTER, 1, Valencia ",46024,39.4601149,-0.3337991
"HOSPES PALAU DE LA MAR","Eixample, Valencia",8.6,1142,140.5,2023-01-22,"AVENIDA DE NAVARRO REVERTER, 14, Valencia ",46004,39.470987,-0.3665897
"ILUNION AQUA 4","Camins al Grau, Valencia",8.2,6256,114.5,2023-01-22,"CARRER DE LUIS GARCÍA BERLANGA MARTÍ, 19-21, Valencia ",46023,39.45594,-0.34578
"HOTEL PLAZA MERCADO & SPA","Ciutat Vella, Valencia",9.2,992,122,2023-01-22,"PLAZA DEL MERCADO, 45, CIUDAD VIEJA, Valencia ",46001,39.4734442,-0.3778781
"RUSSAFA YOUTH HOSTEL","Eixample, Valencia",8.4,713,60.5,2023-01-22,"CALLE DEL PADRE PERERA, 5, Valencia ",46006,39.4626176,-0.371846
"PALACIO VALLIER 5*","Ciutat Vella, Valencia",9.5,836,218.5,2023-01-22,"PLAZA DE MANISES, 7, Valencia ",46003,39.4767525,-0.3762522
"HOTEL VALENCIA OCEANIC AFFILIATED BY MELIÁ","Camins al Grau, Valencia",8.3,2414,249,2023-01-22,"CALLE DEL PINTOR MAELLA, 35, Valencia ",46023,39.45828105,-0.347884075806882
"YOURS BOUTIQUE STAY","Eixample, Valencia",9.3,150,134,2023-01-22,"CARRER DE CUBA, 19, Valencia ",46006,39.4620147,-0.37698
"BLANQ CARMEN HOTEL","Ciutat Vella, Valencia",8.3,1508,100,2023-01-22,"CALLE BLANQUERIAS, 11, Valencia ",46002,39.4810622,-0.3790927
"HOSTAL BED OF THE SEA","Poblados marítimos, Valencia",6.8,625,200,2023-01-22,"CARRER DEL BELLO, 6, Valencia ",46024,39.4592038,-0.335289
"BLANQ COMEDIAS","Ciutat Vella, Valencia",8.8,1111,80,2023-01-22,"CALLE DE LAS COMEDIAS, 21, CIUDAD VIEJA, Valencia ",46003,39.4729205,-0.3723845
"MALVARROSA BEACH ROOMS","Poblados marítimos, Valencia",5.7,1390,85,2023-01-22,"PASEO NEPTUNO, 34, Valencia ",46011,39.4645368,-0.323392972524676
"THE WESTIN VALENCIA","El Pla del Real, Valencia",8.6,1210,440,2023-01-22,"CALLE DE AMADEO DE SABOYA, 16, Valencia ",46010,39.472942,-0.361162817708596
"AC HOTEL COLÓN VALENCIA BY MARRIOTT","Eixample, Valencia",8.5,490,148.5,2023-01-22,"CALLE DE COLÓN, 6, Valencia ",46004,39.467302,-0.3743674
"CITY SUITES ABASTOS","Extramurs, Valencia",7.9,1159,78,2023-01-22,"CALLE DE MARTIN EL HUMANO, 28, Valencia ",46008,39.4704832,-0.3908281
"CARO HOTEL","Ciutat Vella, Valencia",9,476,188,2023-01-22,"CARRER DE L'ALMIRALL, 14, Valencia ",46003,39.4759686,-0.3720638
"MELIA VALENCIA","Benicalap, Valencia",8.8,1817,499,2023-01-22,"AVENIDA DE LAS CORTES VALENCIANAS, 52, Valencia ",46015,39.49472,-0.40081
"HOLIDAY INN EXPRESS CIUDAD DE LAS CIENCIAS, AN IHG HOTEL","Quatre Carreres, Valencia",7.7,2890,475,2023-01-22,"CALLE ESCRITOR RAFAEL FERRERES, 22, Valencia ",46013,39.45128425,-0.358367637180351
"PALACIO SANTA CLARA, AUTOGRAPH COLLECTION","Ciutat Vella, Valencia",9.3,263,222.5,2023-01-22,"CALLE DE PASCUAL Y GENIS, 22, Valencia ",46002,39.4682301,-0.3738525
"SWEET HOTEL CONTINENTAL","Ciutat Vella, Valencia",8.1,3174,89,2022-07-10,"CALLE DE CORREOS, 8, Valencia ",46002,39.4697061,-0.3745483
"HOTEL TURIA","Campanar, Valencia",7.5,3045,115,2022-07-10,"CARRER DEL PROFESOR BELTRÁN BÁGUENA, 2, Valencia ",46009,39.4803567,-0.3890109
"SWEET HOTEL RENASA","El Pla del Real, Valencia",8.1,3441,94,2022-07-10,"AVENIDA DE CATALUÑA, 5, Valencia ",46010,39.480567,-0.3529597
"CATALONIA EXCELSIOR","Ciutat Vella, Valencia",8.5,2213,125,2022-07-10,"CALLE DE LA BARCELONINA, 5, Valencia ",46002,39.4714,-0.37587
"ZENIT VALENCIA","Extramurs, Valencia",8.6,1863,145,2022-07-10,"CALLE DE BAILÉN, 8, LA ROQUETA, Valencia ",46007,39.4667681,-0.3780804
"BIZZBEACH","Poblados marítimos, Valencia",8,206,37,2022-07-10,"CALLE DE IBIZA, 17, Valencia ",46024,39.4602115,-0.3399427
"ONE SHOT PALACIO REINA VICTORIA 04","Ciutat Vella, Valencia",8.3,1844,162,2022-07-10,"CALLE DE LAS BARCAS, 4, Valencia ",46002,39.47021,-0.37533
"DWO VALENCIA","Camins al Grau, Valencia",7.6,1718,125,2022-07-10,"AVENIDA DEL PUERTO, 129, GRAO, POBLATS MARÍTIMS, Valencia ",46022,39.46481,-0.34687
"LINDALA","Poblados marítimos, Valencia",8.9,1145,139,2022-07-10,"CALLE ERNESTO ANASTASIO, 46, Valencia ",46011,39.4646851,-0.3339927
"ZALAMERA BNB","Extramurs, Valencia",8.8,1009,104.5,2022-07-10,"CALLE DE PELAYO, 44, LA ROQUETA, Valencia ",46007,39.4655859,-0.3791324
"YOU & CO. SALER BEACH BOUTIQUE","Poblados del Oeste, Valencia",8.5,2140,102.5,2022-07-10,"AVENIDA DE LOS PINARES, 10, Valencia ",46012,39.38323,-0.33266
"MARQUÉS HOUSE HOTEL 4* SUP","Ciutat Vella, Valencia",9.2,1103,176,2022-07-10,"CALLE DE LA ABADÍA DE SAN MARTÍN, 10, Valencia ",46002,39.473,-0.3754
"HOTEL VALENCIA CENTER","Camins al Grau, Valencia",8.3,5514,132,2022-07-10,"AVENIDA DE FRANCIA, 33, GRAO, Valencia ",46023,39.46017,-0.34948
"BALCÓN AL MAR","Poblados marítimos, Valencia",8.3,569,101,2022-07-10,"CARRER DE JOAN JOSEP SISTER, 1, Valencia ",46024,39.4601149,-0.3337991
"HOSPEDERIA DEL PILAR","Ciutat Vella, Valencia",7.5,2556,67.5,2022-07-10,"PLAZA DEL MERCADO, 19, Valencia ",46001,39.4750657,-0.3796973
"HOTEL MEDIUM VALENCIA","Quatre Carreres, Valencia",8.1,2616,148.5,2022-07-10,"AVINGUDA D'AMADO GRANELL MESADO, 48, Valencia ",46013,39.4588201,-0.3649061
"YOU & CO. QUART BOUTIQUE","Extramurs, Valencia",8.8,1175,142.5,2022-07-10,"CALLE DOCTOR PESET CERVERA, 6, Valencia ",46008,39.4740918,-0.3869063
"HI VALENCIA CANOVAS","Eixample, Valencia",7.9,2214,79.5,2022-07-10,"CALLE DE CIRILO AMORÓS, 82, Valencia ",46004,39.4667056,-0.3729278
"SILKEN PUERTA VALENCIA","Camins al Grau, Valencia",8.3,3860,124.5,2022-07-10,"AVENIDA CARDENAL BENLLOCH, 28, Valencia ",46021,39.46847,-0.35562
"PORT FERIA VALENCIA","Poblados del Oeste, Valencia",8.1,3323,110,2022-07-10,"CARRER DE CULLERA, 67, Valencia ",46035,39.5041799,-0.4228127
"EUROSTARS REY DON JAIME","Camins al Grau, Valencia",7.9,11634,154.5,2022-07-10,"AVENIDA BALEARES, 2, Valencia ",46023,39.4633945,-0.3566471
"NH VALENCIA LAS CIENCIAS","Quatre Carreres, Valencia",7.7,2319,89,2022-07-10,"AVENIDA DEL INSTITUTO OBRERO DE VALENCIA, 26, Valencia ",46013,39.45538,-0.35817
"SERCOTEL SOROLLA PALACE","Poblados del Oeste, Valencia",8.3,4873,148.5,2022-07-10,"AVENIDA DE LAS CORTES VALENCIANAS, 58, Valencia ",46015,39.49617,-0.40132
"AC HOTEL VALENCIA BY MARRIOTT","Camins al Grau, Valencia",8.3,1264,131,2022-07-10,"AVENIDA DE FRANCIA, 67, GRAO, Valencia ",46023,39.45886,-0.34393
"HULOT B&B VALENCIA","Ciutat Vella, Valencia",8.3,1124,92.5,2022-07-10,"CARRER DEL POETA LIERN, 16, Valencia ",46003,39.4747995,-0.3705918
"CASUAL VINTAGE VALENCIA","Ciutat Vella, Valencia",8.1,3958,122,2022-07-10,"CALLE DE LA BARCELONINA, 1, Valencia ",46002,39.47134,-0.37632
"REINA 107 BEACH BOUTIQUE","Poblados marítimos, Valencia",8.7,392,139,2022-07-10,"CARRER DE LA REINA, 107, Valencia ",46011,39.4684516,-0.328803
"NALU VALENCIA BOUTIQUE ROOMS","Ciutat Vella, Valencia",8.2,205,161,2022-07-10,"CALLE DE LA SANGRE, 9, CIUDAD VIEJA, Valencia ",46002,39.4703868,-0.3773597
"EUROSTARS ACTEÓN","Camins al Grau, Valencia",8.4,4936,203.5,2022-07-10,"CARRER DE VICENTE BELTRÁN GRIMAL, 2, Valencia ",46023,39.46363625,-0.347939215400449
"HOTEL BELERET","Poblados del Oeste, Valencia",7.8,2040,102,2022-07-10,"CALLE CAMPAMENTO, 76, BENIMÀMET, Valencia ",46035,39.50056,-0.42511
"HOTEL DIMAR","Eixample, Valencia",8.6,2111,135,2022-07-10,"GRAN VIA DEL MARQUES DEL TURIA, 80, Valencia ",46005,39.4683488,-0.3650328
"EUROSTARS GRAN VALENCIA","Benicalap, Valencia",8.4,2594,114,2022-07-10,"CALLE DEL VALLE DE AYORA, 3, Valencia ",46015,39.4915771,-0.3982036
"PALACIO VALLIER 5*","Ciutat Vella, Valencia",9.5,832,246.5,2022-07-10,"PLAZA DE MANISES, 7, Valencia ",46003,39.4767525,-0.3762522
"HOTEL CONQUERIDOR","Extramurs, Valencia",8,2390,166.5,2022-07-10,"CALLE DE CERVANTES, 9, LA ROQUETA, Valencia ",46007,39.4669877,-0.3820251
"HOTEL OLYMPIA UNIVERSIDADES","Benimaclet, Valencia",8.5,2520,145,2022-07-10,"CALLE DEL DOCTOR VICENTE ZARAGOZA, 13, Valencia ",46020,39.4852155,-0.3632217
"ILUNION AQUA 4","Camins al Grau, Valencia",8.2,6246,198,2022-07-10,"CARRER DE LUIS GARCÍA BERLANGA MARTÍ, 19-21, Valencia ",46023,39.45594,-0.34578
"HOSTAL BED OF THE SEA","Poblados marítimos, Valencia",6.8,625,130,2022-07-10,"CARRER DEL BELLO, 6, Valencia ",46024,39.4592038,-0.335289
"PENSION MONALISA LUXURY SUITES","Extramurs, Valencia",8,667,95,2022-07-10,"AVENIDA DE PÉREZ GALDOS, 12, Valencia ",46007,39.4632544,-0.3871553
"SERCOTEL VALENCIA ALAMEDA 41","Camins al Grau, Valencia",9,1970,166.5,2022-07-10,"PASEO DE LA ALAMEDA, 41, Valencia ",46023,39.4726866,-0.3644008
"B&B HOTEL VALENCIA CIUDAD DE LAS CIENCIAS","Quatre Carreres, Valencia",7.5,3919,120,2022-07-10,"AVINGUDA D'AUSIÀS MARCH, 99, Valencia ",46013,39.4456699,-0.3682916
"THE WESTIN VALENCIA","El Pla del Real, Valencia",8.6,1210,280.5,2022-07-10,"CALLE DE AMADEO DE SABOYA, 16, Valencia ",46010,39.472942,-0.361162817708596
"ILUNION VALENCIA 3","Benicalap, Valencia",7.8,3027,157.5,2022-07-10,"CALLE DEL VALLE DE AYORA, 5, Valencia ",46015,39.4932582,-0.3991733
"ORIGINAL DOMINO HOUSE","Camins al Grau, Valencia",8.7,724,92.5,2022-07-10,"CALLE DE LAS ISLAS CANARIAS, 51, GRAO, Valencia ",46023,39.4613327,-0.3380562
"B&B EL MERCAT","Ciutat Vella, Valencia",6.5,518,150,2022-07-10,"CARRER DEL PEU DE LA CREU, 5, Valencia ",46001,39.47302085,-0.380424803625504
"HOTEL PLAZA MERCADO & SPA","Ciutat Vella, Valencia",9.2,991,226,2022-07-10,"PLAZA DEL MERCADO, 45, CIUDAD VIEJA, Valencia ",46001,39.4734442,-0.3778781
"ILUNION AQUA 3","Camins al Grau, Valencia",8,4389,167.5,2022-07-10,"CARRER DE LUIS GARCÍA-BERLANGA MARTÍ, 21, Valencia ",46023,39.45535,-0.34292
"SENATOR PARQUE CENTRAL HOTEL","Eixample, Valencia",8,3580,108,2022-07-10,"PLAZA MANUEL SANCHIS GUARNER, 1, Valencia ",46006,39.4574798,-0.3755124
"ILUNION VALENCIA 4","Benicalap, Valencia",8.1,3448,168,2022-07-10,"CALLE DEL VALLE DE AYORA, 1, Valencia ",46015,39.4912973,-0.3980026
"SH VALENCIA PALACE","El Pla del Real, Valencia",8.3,2359,165,2022-07-10,"PASEO DE LA ALAMEDA, 32, Valencia ",46023,39.4675577,-0.359796353075922
"SEA YOU HOTEL PORT VALENCIA","Poblados marítimos, Valencia",7.4,1019,172,2022-07-10,"PLAÇA DEL TRIBUNAL DE LES AIGÜES, 5, Valencia ",46011,39.4609113,-0.3339595
"CASUAL DE LA MÚSICA VALENCIA","Ciutat Vella, Valencia",7.1,2630,107.5,2022-07-10,"CALLE DE PADILLA, 4, Valencia ",46001,39.4701428,-0.3795473
"OTTOH CHARM STAY","Ciutat Vella, Valencia",8.9,847,159,2022-07-10,"CARRER DEL SANTÍSSIM, 5, CIUDAD VIEJA, Valencia ",46003,39.47466,-0.37147
"NH CIUDAD DE VALENCIA","Camins al Grau, Valencia",7.9,3225,123,2022-07-10,"AVENIDA DEL PUERTO, 214, GRAO, POBLATS MARÍTIMS, Valencia ",46023,39.46276,-0.34339
"MELIA PLAZA VALENCIA","Ciutat Vella, Valencia",8.7,2087,236.5,2022-07-10,"PLAZA DEL AYUNTAMIENTO, 4, CIUDAD VIEJA, Valencia ",46002,39.4707157,-0.376740504346867
"NH VALENCIA LAS ARTES","Quatre Carreres, Valencia",8,2491,125,2022-07-10,"AVENIDA DEL INSTITUTO OBRERO DE VALENCIA, 28, Valencia ",46013,39.45572,-0.3573
"VENECIA PLAZA CENTRO","Ciutat Vella, Valencia",9,6767,161,2022-07-10,"PLAZA DEL AYUNTAMIENTO, 3, CIUDAD VIEJA, Valencia ",46002,39.4718725,-0.3768941
"COOL LOFS CENTER VALENCIA","Extramurs, Valencia",7.8,18,132.5,2022-07-10,"CALLE LEPANTO, 6, EL BOTÀNIC, Valencia ",46008,39.47406,-0.38438
"HOTEL MALCOM AND BARRET","Quatre Carreres, Valencia",8.7,12664,174,2022-07-10,"AVINGUDA D'AUSIÀS MARCH, 59, Valencia ",46013,39.4507488,-0.3709729
"AC HOTEL COLÓN VALENCIA BY MARRIOTT","Eixample, Valencia",8.5,490,168.5,2022-07-10,"CALLE DE COLÓN, 6, Valencia ",46004,39.467302,-0.3743674
"BARCELÓ VALENCIA","Camins al Grau, Valencia",8.6,2280,126,2022-07-10,"AVENIDA DE FRANCIA, 11, GRAO, Valencia ",46023,39.46087,-0.35258
"HOTEL VALENCIA OCEANIC AFFILIATED BY MELIÁ","Camins al Grau, Valencia",8.3,2416,145,2022-07-10,"CALLE DEL PINTOR MAELLA, 35, Valencia ",46023,39.45828105,-0.347884075806882
"CASA DEL PATRIARCA","Ciutat Vella, Valencia",8.6,1141,142.5,2022-07-10,"CALLE DE SALVÁ, 12, Valencia ",46002,39.4718177,-0.373591
"HOLIDAY INN EXPRESS CIUDAD DE LAS CIENCIAS, AN IHG HOTEL","Quatre Carreres, Valencia",7.7,2889,157,2022-07-10,"CALLE ESCRITOR RAFAEL FERRERES, 22, Valencia ",46013,39.45128425,-0.358367637180351
"BLANQ CARMEN HOTEL","Ciutat Vella, Valencia",8.3,1506,179,2022-07-10,"CALLE BLANQUERIAS, 11, Valencia ",46002,39.4810622,-0.3790927
"HOSPES PALAU DE LA MAR","Eixample, Valencia",8.6,1145,231.5,2022-07-10,"AVENIDA DE NAVARRO REVERTER, 14, Valencia ",46004,39.470987,-0.3665897
"VINCCI LYS","Ciutat Vella, Valencia",8.7,5500,338.5,2022-07-10,"CALLE DE MARTÍNEZ CUBELLS, 5, Valencia ",46002,39.4683538,-0.3751913
"SH SUITE PALACE","Ciutat Vella, Valencia",8.5,260,116,2022-07-10,"PLAÇA DE MARGARITA VALLDAURA, 2, Valencia ",46002,39.4733342,-0.37485410510106
"HOTEL KRAMER","Campanar, Valencia",8.8,5430,168,2022-07-10,"AVENIDA DE CAMPANAR, 90, Valencia ",46015,39.48078725,-0.393498593134684
"CARO HOTEL","Ciutat Vella, Valencia",9,475,245.5,2022-07-10,"CARRER DE L'ALMIRALL, 14, Valencia ",46003,39.4759686,-0.3720638
"VINCCI PALACE","Ciutat Vella, Valencia",8.6,3609,324.5,2022-07-10,"CALLE DE LA PAZ, 42, CIUDAD VIEJA, Valencia ",46003,39.4735044,-0.3741584
"COSY ROOMS BOLSERÍA","Ciutat Vella, Valencia",7.1,837,120,2022-07-10,"CALLE DE LAS MONJAS, 4, CIUDAD VIEJA, Valencia ",46001,39.47537615,-0.380247718542199
"NH VALENCIA CENTER","Campanar, Valencia",8.1,3409,143,2022-07-10,"CALLE DE RICARDO MICÓ, 1, Valencia ",46009,39.4808319,-0.387316431843575
"COSY ROOMS TAPINERÍA","Ciutat Vella, Valencia",6.8,1200,87.5,2022-07-10,"CARRER DE LA TAPINERIA, 13, Valencia ",46001,39.4747296,-0.3764117
"CASUAL DE LAS ARTES VALENCIA","Camins al Grau, Valencia",8.1,2477,127.5,2022-07-10,"AVENIDA DEL PUERTO, 39, GRAO, POBLATS MARÍTIMS, Valencia ",46021,39.46709,-0.35582
"ARENA ZONE HOTEL & CAFÉ","Quatre Carreres, Valencia",8.7,894,244,2022-07-10,"AVENIDA DE ANTONIO FERRANDIS (ACTOR), 18, Valencia ",46013,39.4510025,-0.3569108
"ONLY YOU HOTEL VALENCIA","Ciutat Vella, Valencia",9.2,1661,285,2022-07-10,"PLAZA DE RODRIGO BOTET, 5, Valencia ",46002,39.471332,-0.3752529
"VINCCI MERCAT","Ciutat Vella, Valencia",8.7,3320,357.5,2022-07-10,"CALLE DE LA LINTERNA, 31, Valencia ",46001,39.4719381,-0.3777896
"CASUAL SOCARRAT VALENCIA - ADULTS ONLY","Ciutat Vella, Valencia",8.7,1484,161,2022-07-10,"CALLE DE LA PAZ, 38, CIUDAD VIEJA, Valencia ",46003,39.472943,-0.3717601
"COSY ROOMS EMBAJADOR","Ciutat Vella, Valencia",6.9,1637,116.5,2022-07-10,"CALLE DEL EMBAJADOR VICH, 5, Valencia ",46002,39.472443,-0.375378
"HOTEL BOUTIQUE BALANDRET","Poblados marítimos, Valencia",8.8,1407,287,2022-07-10,"PASEO DE NEPTUNO, 20, Valencia ",46011,39.4639344,-0.3235479
"OPERA HOUSE VALENCIA B&B","Camins al Grau, Valencia",9.1,700,185.5,2022-07-10,"CALLE DE ENRIQUE VIEDMA VIDAL (ARQUITECTO), 2, Valencia ",46023,39.4631352,-0.3571467
"SH INGLES BOUTIQUE HOTEL","Ciutat Vella, Valencia",8.2,1268,215,2022-07-10,"CALLE  DEL MARQUÉS DE DOS AGUAS, 6, CIUDAD VIEJA, Valencia ",46002,39.4732021,-0.3743062
"NH COLLECTION COLÓN VALENCIA","Eixample, Valencia",8.7,988,193,2022-07-10,"CALLE DE COLÓN, 32, Valencia ",46004,39.468559,-0.3725678
"MD DESIGN HOTEL - PORTAL DEL REAL","Ciutat Vella, Valencia",9,1066,141.5,2022-07-10,"CARRER DE BOIX, 3, Valencia ",46003,39.47697,-0.37238
"COSMO HOTEL BOUTIQUE","Ciutat Vella, Valencia",9.3,2207,244,2022-07-10,"AVENIDA DE MARÍA CRISTINA, 18, Valencia ",46003,39.4727474,-0.3773469
"HOTEL SAN LORENZO BOUTIQUE","Ciutat Vella, Valencia",8.4,1565,155,2022-07-10,"PLAZA DE SAN LORENZO, 2, Valencia ",46003,39.4778128,-0.374827315285652
"CASUAL DEL CINE VALENCIA","Ciutat Vella, Valencia",8.4,2329,119.5,2022-07-10,"CALLE DEL CONVENTO DE SAN FRANCISCO, 7, Valencia ",46002,39.4689015,-0.3776315
"HELEN BERGER BOUTIQUE HOTEL","Ciutat Vella, Valencia",9.2,2066,268,2022-07-10,"CALLE DE LA NAVE, 3, Valencia ",46003,39.4719418,-0.3709758
"PRIMUS VALENCIA","Camins al Grau, Valencia",8.2,3809,186.5,2022-07-10,"CALLE DE MENORCA, 22, Valencia ",46023,39.4576914,-0.3457277
"L&H GRAN VÍA VALENCIA","Extramurs, Valencia",9.1,323,251.5,2022-07-10,"GRAN VÍA FERNANDO EL CATOLICO, 63, Valencia ",46008,39.4750883,-0.388812
"HOSTAL TARTESSOS","Ciutat Vella, Valencia",8.7,546,137,2022-07-10,"PASAJE DE LA SANGRE, 5, Valencia ",46001,39.4707154,-0.377145
"PAMPHYLIA HOTEL","Poblados marítimos, Valencia",8.9,151,300,2022-07-10,"PASEO DE NEPTUNO, 40, Valencia ",46011,39.46468905,-0.32341469206265
"PALACIO SANTA CLARA, AUTOGRAPH COLLECTION","Ciutat Vella, Valencia",9.3,262,227.5,2022-07-10,"CALLE DE PASCUAL Y GENIS, 22, Valencia ",46002,39.4682301,-0.3738525
"PALACIOS ROOMS","Algirós, Valencia",7.9,848,177,2022-07-10,"CALLE DE DAOIZ Y VELARDE, 6, Valencia ",46021,39.4742105,-0.3495433
"HOTEL EL SIGLO","Ciutat Vella, Valencia",8,880,157,2022-07-10,"PLAZA DE SANTA CATALINA, 11, Valencia ",46001,39.473877,-0.3760907
"LOTELITO","Ciutat Vella, Valencia",8.8,1300,204,2022-07-10,"CALLE DE VIRUÉS, 6, Valencia ",46002,39.4709807,-0.3746814
"MD MODERN HOTEL - JARDINES","Eixample, Valencia",8.5,1139,157,2022-07-10,"CARRER DEL MESTRE RACIONAL, 23, Valencia ",46005,39.4641809,-0.3617507
"SWEET HOTEL RENASA","El Pla del Real, Valencia",8.1,3441,84,2022-07-17,"AVENIDA DE CATALUÑA, 5, Valencia ",46010,39.480567,-0.3529597
"CATALONIA EXCELSIOR","Ciutat Vella, Valencia",8.5,2213,115,2022-07-17,"CALLE DE LA BARCELONINA, 5, Valencia ",46002,39.4714,-0.37587
"ZENIT VALENCIA","Extramurs, Valencia",8.6,1863,135,2022-07-17,"CALLE DE BAILÉN, 8, LA ROQUETA, Valencia ",46007,39.4667681,-0.3780804
"ONE SHOT PALACIO REINA VICTORIA 04","Ciutat Vella, Valencia",8.3,1844,139.5,2022-07-17,"CALLE DE LAS BARCAS, 4, Valencia ",46002,39.47021,-0.37533
"DWO VALENCIA","Camins al Grau, Valencia",7.6,1718,131.5,2022-07-17,"AVENIDA DEL PUERTO, 129, GRAO, POBLATS MARÍTIMS, Valencia ",46022,39.46481,-0.34687
"HOTEL VALENCIA CENTER","Camins al Grau, Valencia",8.3,5514,121.5,2022-07-17,"AVENIDA DE FRANCIA, 33, GRAO, Valencia ",46023,39.46017,-0.34948
